,a,b,label,logit_diff
0,soap dispenser,basketball,False,-1.140625
1,basketball,soap dispenser,True,4.7265625
2,garden hose,uakari,False,-0.34375
3,uakari,garden hose,True,3.578125
4,saki,chameleon,True,3.15625
5,chameleon,saki,False,-0.59375
6,banana tree,mushroom cap,True,3.171875
7,mushroom cap,banana tree,False,-2.640625
8,soccer ball,train station,False,-2.40625
9,train station,soccer ball,True,3.84375
10,food processor,moose,False,-1.765625
11,moose,food processor,True,2.125
12,abalone,ring-tailed lemur,True,2.15625
13,ring-tailed lemur,abalone,False,-2.78125
14,brussel sprout,planet,False,-4.21875
15,planet,brussel sprout,True,4.65625
16,limpet,abalone,False,-0.9375
17,abalone,limpet,True,5.984375
18,staple remover,cave,False,-1.859375
19,cave,staple remover,True,3.8671875
20,basketball,electron,True,1.109375
21,electron,basketball,False,-3.359375
22,crouton,trailer,False,-1.125
23,trailer,crouton,True,2.84375
24,highway,wolverine,True,2.46875
25,wolverine,highway,False,-2.53125
26,drawer,pinhead,True,3.609375
27,pinhead,drawer,False,-1.203125
28,aardvark,scorpion,True,3.484375
29,scorpion,aardvark,False,-0.34375
30,bee,boulder,False,-3.0
31,boulder,bee,True,3.78125
32,weasel,lunar rover,False,-1.40625
33,lunar rover,weasel,True,2.421875
34,angelfish,cauliflower,True,3.296875
35,cauliflower,angelfish,False,-1.015625
36,chipmunk,multicellular organism,False,-2.75
37,multicellular organism,chipmunk,True,3.8828125
38,pizza cutter,jungle,False,-2.265625
39,jungle,pizza cutter,True,2.265625
40,goat,millipede,True,4.140625
41,millipede,goat,False,-4.8046875
42,hangar,toad,True,2.546875
43,toad,hangar,False,-2.515625
44,runway,beetle,True,1.734375
45,beetle,runway,False,-2.265625
46,football stadium,dwarf lemur,True,1.75
47,dwarf lemur,football stadium,False,-4.296875
48,microwave,lamppost,False,-0.75
49,lamppost,microwave,True,3.53125
50,lemming,aircraft carrier,False,-3.890625
51,aircraft carrier,lemming,True,0.796875
52,candle,metropolis,False,-2.953125
53,metropolis,candle,True,2.96875
54,dust mite,van,False,-4.34375
55,van,dust mite,True,3.03125
56,cell phone tower,continent,False,-4.3125
57,continent,cell phone tower,True,2.828125
58,parking meter,sea,False,-2.734375
59,sea,parking meter,True,4.6640625
60,raisin,flower,False,-0.078125
61,flower,raisin,True,3.78125
62,kitchen utensil holder,dump truck,False,-2.25
63,dump truck,kitchen utensil holder,True,4.171875
64,planet,dolphin,True,4.7265625
65,dolphin,planet,False,-4.28125
66,lawn mower,tadpole,True,1.65625
67,tadpole,lawn mower,False,-2.0625
68,chimpanzee,stethoscope,True,2.03125
69,stethoscope,chimpanzee,False,-2.109375
70,stove,neighborhood,False,-2.421875
71,neighborhood,stove,True,1.6875
72,booster rocket,townhouse,True,1.84375
73,townhouse,booster rocket,False,-2.265625
74,jungle,armadillo,True,1.75
75,armadillo,jungle,False,-1.96875
76,broiler,moon,False,-2.828125
77,moon,broiler,True,0.875
78,candle,millipede,True,2.125
79,millipede,candle,False,-2.140625
80,chipmunk,banana tree,False,-2.109375
81,banana tree,chipmunk,True,2.515625
82,football stadium,golf ball,True,3.03125
83,golf ball,football stadium,False,-2.390625
84,container ship,pea pod,True,2.6875
85,pea pod,container ship,False,-2.28125
86,tamarin,giraffe,False,-3.9375
87,giraffe,tamarin,True,3.28125
88,smart car,rocket,False,-2.796875
89,rocket,smart car,True,3.796875
90,pill bug,asteroid,False,-2.015625
91,asteroid,pill bug,True,2.890625
92,strainer,coral,False,-1.140625
93,coral,strainer,True,2.765625
94,salamander,hill,False,-2.0
95,hill,salamander,True,2.9375
96,boulder,jet ski,True,3.515625
97,jet ski,boulder,False,-1.140625
98,dwarf planet,planet,False,-3.65625
99,planet,dwarf planet,True,3.578125
100,donkey,elephant,False,-3.3125
101,elephant,donkey,True,6.6015625
102,rice cooker,cabin,False,-2.328125
103,cabin,rice cooker,True,4.0078125
104,dam,light bulb,True,2.84375
105,light bulb,dam,False,-1.515625
106,baboon,slug,True,4.046875
107,slug,baboon,False,-3.765625
108,warehouse,canoe,True,2.640625
109,canoe,warehouse,False,-3.984375
110,rocket,goldfish,True,4.15625
111,goldfish,rocket,False,-2.5625
112,forklift,spaceport,False,-2.1875
113,spaceport,forklift,True,3.7734375
114,virus,vase,False,-0.515625
115,vase,virus,True,3.296875
116,French fry,quinoa,False,-0.03125
117,quinoa,French fry,True,4.25
118,compass,millipede,True,3.375
119,millipede,compass,False,-0.625
120,brussel sprout,tortoise,False,-3.203125
121,tortoise,brussel sprout,True,3.375
122,insectivorous bat,metropolis,False,-1.59375
123,metropolis,insectivorous bat,True,2.71875
124,paper weight,lake,False,-1.890625
125,lake,paper weight,True,4.015625
126,sheep,dust mite,True,3.5
127,dust mite,sheep,False,-4.234375
128,bush,scooter,True,5.28125
129,scooter,bush,False,-1.5
130,moon,cafe,True,1.875
131,cafe,moon,False,-2.46875
132,snake,great white shark,False,-2.0625
133,great white shark,snake,True,1.796875
134,cheese grater,sea,False,-2.703125
135,sea,cheese grater,True,3.5859375
136,limpet,comet,False,-2.109375
137,comet,limpet,True,2.03125
138,mailbox,Apollo lunar module,False,-1.3125
139,Apollo lunar module,mailbox,True,2.8125
140,raisin,rocket,False,-1.109375
141,rocket,raisin,True,3.203125
142,ring-tailed lemur,gorilla,False,-1.75
143,gorilla,ring-tailed lemur,True,5.6015625
144,lawn mower,blade of grass,True,4.484375
145,blade of grass,lawn mower,False,-0.015625
146,comet,gazebo,True,5.0703125
147,gazebo,comet,False,-1.484375
148,hippopotamus,chinchilla,True,4.015625
149,chinchilla,hippopotamus,False,-2.8125
150,skis,envelope,True,3.0
151,envelope,skis,False,-1.15625
152,oak tree,doghouse,True,4.625
153,doghouse,oak tree,False,-2.984375
154,dune,synagogue,True,3.546875
155,synagogue,dune,False,-1.96875
156,bicycle,tower,False,-0.265625
157,tower,bicycle,True,5.6640625
158,railroad,roasting pan,True,4.21875
159,roasting pan,railroad,False,-1.375
160,river,lemming,True,1.6875
161,lemming,river,False,-2.375
162,planet,blimp,True,4.3203125
163,blimp,planet,False,-3.671875
164,pond,brussel sprout,True,3.0625
165,brussel sprout,pond,False,-3.0625
166,pizza cutter,turkey,False,-1.484375
